source,target,source_name,target_name,source_opinion,target_opinion,source_group,target_group
0,5,John Smith,Linda Garcia,-2,-2,-1,-1
0,10,John Smith,David Hernandez,-2,-2,-1,-1
0,15,John Smith,Margaret Taylor,-2,-2,-1,-1
0,20,John Smith,Daniel Perez,-2,-2,-1,-1
0,25,John Smith,Betty Ramirez,-2,-2,-1,-1
0,30,John Smith,Paul Allen,-2,-2,-1,-1
0,35,John Smith,Ruth Nguyen,-2,-2,-1,-1
0,40,John Smith,Jason Nelson,-2,-2,-1,-1
0,45,John Smith,Melissa Mitchell,-2,-2,-1,-1
0,50,John Smith,Nicholas Turner,-2,-2,-1,-1
0,55,John Smith,Rachel Stewart,-2,-2,-1,-1
0,60,John Smith,Aaron Cook,-2,-2,-1,-1
0,65,John Smith,Katherine Rivera,-2,-2,-1,-1
0,70,John Smith,Bryan Ward,-2,-2,-1,-1
0,75,John Smith,Victoria Bennett,-2,-2,-1,-1
0,80,John Smith,Robin Coleman,-2,-2,-1,-1
0,85,John Smith,Taylor Hughes,-2,-2,-1,-1
0,90,John Smith,Dylan Bryant,-2,-2,-1,-1
0,95,John Smith,Hailey Myers,-2,-2,-1,-1
0,100,John Smith,Wyatt Wallace,-2,-2,-1,-1
0,105,John Smith,Lily Ford,-2,-2,-1,-1
0,110,John Smith,Julian Barnes,-2,-2,-1,-1
1,6,Mary Johnson,William Miller,-1,-1,-1,-1
1,11,Mary Johnson,Jennifer Lopez,-1,-1,-1,-1
1,16,Mary Johnson,Charles Moore,-1,-1,-1,-1
1,21,Mary Johnson,Nancy White,-1,-1,-1,-1
1,26,Mary Johnson,Mark Lewis,-1,-1,-1,-1
1,31,Mary Johnson,Donna King,-1,-1,-1,-1
1,36,Mary Johnson,Brian Hill,-1,-1,-1,-1
1,41,Mary Johnson,Amy Baker,-1,-1,-1,-1
1,46,Mary Johnson,Ryan Carter,-1,-1,-1,-1
1,51,Mary Johnson,Rebecca Torres,-1,-1,-1,-1
1,56,Mary Johnson,Brandon Sanchez,-1,-1,-1,-1
1,61,Mary Johnson,Olivia Morgan,-1,-1,-1,-1
1,66,Mary Johnson,Patrick Cooper,-1,-1,-1,-1
1,71,Mary Johnson,Janice Brooks,-1,-1,-1,-1
1,76,Mary Johnson,Jordan Wood,-1,-1,-1,-1
1,81,Mary Johnson,AJenkins,-1,-1,-1,-1
1,86,Mary Johnson,Ethan Flores,-1,-1,-1,-1
1,91,Mary Johnson,Jasmine Alexander,-1,-1,-1,-1
1,96,Mary Johnson,Owen Ford,-1,-1,-1,-1
1,101,Mary Johnson,Eva West,-1,-1,-1,-1
1,106,Mary Johnson,Gabriel Simmons,-1,-1,-1,-1
1,111,Mary Johnson,Aubrey Price,-1,-1,-1,-1
2,7,Robert Williams,Barbara Davis,0,0,0,0
2,12,Robert Williams,Richard Wilson,0,0,0,0
2,17,Robert Williams,Dorothy Jackson,0,0,0,0
2,22,Robert Williams,Matthew Harris,0,0,0,0
2,27,Robert Williams,Helen Robinson,0,0,0,0
2,32,Robert Williams,Andrew Wright,0,0,0,0
2,37,Robert Williams,Sharon Flores,0,0,0,0
2,42,Robert Williams,Jeffrey Hall,0,0,0,0
2,47,Robert Williams,Emma Roberts,0,0,0,0
2,52,Robert Williams,Frank Parker,0,0,0,0
2,57,Robert Williams,Laura Morris,0,0,0,0
2,62,Robert Williams,Adam Bell,0,0,0,0
2,67,Robert Williams,Diane Richardson,0,0,0,0
2,72,Robert Williams,Samuel Kelly,0,0,0,0
2,77,Robert Williams,Casey Barnes,0,0,0,0
2,82,Robert Williams,Quinn Perry,0,0,0,0
2,87,Robert Williams,Samantha Butler,0,0,0,0
2,92,Robert Williams,Connor Russell,0,0,0,0
2,97,Robert Williams,Isabella Hamilton,0,0,0,0
2,102,Robert Williams,Julian Cole,0,0,0,0
2,107,Robert Williams,Madison Bryant,0,0,0,0
2,112,Robert Williams,Miles Jenkins,0,0,0,0
3,8,Patricia Brown,James Rodriguez,1,1,1,1
