source,target,source_name,target_name,source_opinion,target_opinion,source_group,target_group
0,105,John Smith,Lily Ford,-2,-2,-1,-1
0,20,John Smith,Daniel Perez,-2,-2,-1,-1
0,5,John Smith,Linda Garcia,-2,-2,-1,-1
0,45,John Smith,Melissa Mitchell,-2,-2,-1,-1
0,40,John Smith,Jason Nelson,-2,-2,-1,-1
0,39,John Smith,Cynthia Adams,-2,2,-1,1
0,24,John Smith,Anthony Clark,-2,2,-1,1
0,19,John Smith,Lisa Lee,-2,2,-1,1
0,109,John Smith,Sofia Griffin,-2,2,-1,1
0,89,John Smith,Alyssa Foster,-2,2,-1,1
0,7,John Smith,Barbara Davis,-2,0,-1,0
0,14,John Smith,Joseph Thomas,-2,2,-1,1
0,17,John Smith,Dorothy Jackson,-2,0,-1,0
0,59,John Smith,Megan Reed,-2,2,-1,1
0,64,John Smith,Zachary Bailey,-2,2,-1,1
0,65,John Smith,Katherine Rivera,-2,-2,-1,-1
0,69,John Smith,Theresa Howard,-2,2,-1,1
0,75,John Smith,Victoria Bennett,-2,-2,-1,-1
0,77,John Smith,Casey Barnes,-2,0,-1,0
0,80,John Smith,Robin Coleman,-2,-2,-1,-1
0,85,John Smith,Taylor Hughes,-2,-2,-1,-1
0,90,John Smith,Dylan Bryant,-2,-2,-1,-1
0,94,John Smith,Luke Diaz,-2,2,-1,1
1,16,Mary Johnson,Charles Moore,-1,-1,-1,-1
1,96,Mary Johnson,Owen Ford,-1,-1,-1,-1
1,71,Mary Johnson,Janice Brooks,-1,-1,-1,-1
1,11,Mary Johnson,Jennifer Lopez,-1,-1,-1,-1
1,6,Mary Johnson,William Miller,-1,-1,-1,-1
1,13,Mary Johnson,Susan Anderson,-1,1,-1,1
1,33,Mary Johnson,Carol Scott,-1,1,-1,1
1,38,Mary Johnson,Edward Green,-1,1,-1,1
1,83,Mary Johnson,Riley Powell,-1,1,-1,1
1,98,Mary Johnson,Carter Graham,-1,1,-1,1
1,36,Mary Johnson,Brian Hill,-1,-1,-1,-1
1,48,Mary Johnson,Gary Phillips,-1,1,-1,1
1,113,Mary Johnson,Caroline Patterson,-1,1,-1,1
2,7,Robert Williams,Barbara Davis,0,0,0,0
2,92,Robert Williams,Connor Russell,0,0,0,0
2,37,Robert Williams,Sharon Flores,0,0,0,0
2,107,Robert Williams,Madison Bryant,0,0,0,0
2,72,Robert Williams,Samuel Kelly,0,0,0,0
2,29,Robert Williams,Sandra Young,0,2,0,1
2,61,Robert Williams,Olivia Morgan,0,-1,0,-1
2,35,Robert Williams,Ruth Nguyen,0,-2,0,-1
2,64,Robert Williams,Zachary Bailey,0,2,0,1
2,3,Robert Williams,Patricia Brown,0,1,0,1
2,62,Robert Williams,Adam Bell,0,0,0,0
2,67,Robert Williams,Diane Richardson,0,0,0,0
3,33,Patricia Brown,Carol Scott,1,1,1,1
3,73,Patricia Brown,Alice Sanders,1,1,1,1
3,58,Patricia Brown,Benjamin Rogers,1,1,1,1
3,48,Patricia Brown,Gary Phillips,1,1,1,1
3,28,Patricia Brown,Steven Walker,1,1,1,1
3,31,Patricia Brown,Donna King,1,-1,1,-1
3,51,Patricia Brown,Rebecca Torres,1,-1,1,-1
3,16,Patricia Brown,Charles Moore,1,-1,1,-1
3,11,Patricia Brown,Jennifer Lopez,1,-1,1,-1
3,61,Patricia Brown,Olivia Morgan,1,-1,1,-1
3,26,Patricia Brown,Mark Lewis,1,-1,1,-1
3,41,Patricia Brown,Amy Baker,1,-1,1,-1
3,43,Patricia Brown,Angela Rivera,1,1,1,1
3,53,Patricia Brown,Janet Edwards,1,1,1,1
3,96,Patricia Brown,Owen Ford,1,-1,1,-1
3,108,Patricia Brown,Aaron Russell,1,1,1,1
3,113,Patricia Brown,Caroline Patterson,1,1,1,1
4,24,Michael Jones,Anthony Clark,2,2,1,1
4,64,Michael Jones,Zachary Bailey,2,2,1,1
4,104,Michael Jones,Isaac Hayes,2,2,1,1
4,49,Michael Jones,Stephanie Evans,2,2,1,1
4,14,Michael Jones,Joseph Thomas,2,2,1,1
4,70,Michael Jones,Bryan Ward,2,-2,1,-1
4,85,Michael Jones,Taylor Hughes,2,-2,1,-1
4,15,Michael Jones,Margaret Taylor,2,-2,1,-1
4,60,Michael Jones,Aaron Cook,2,-2,1,-1
4,10,Michael Jones,David Hernandez,2,-2,1,-1
4,20,Michael Jones,Daniel Perez,2,-2,1,-1
4,25,Michael Jones,Betty Ramirez,2,-2,1,-1
4,34,Michael Jones,Kevin Torres,2,2,1,1
4,59,Michael Jones,Megan Reed,2,2,1,1
4,62,Michael Jones,Adam Bell,2,0,1,0
4,74,Michael Jones,Derek Price,2,2,1,1
4,77,Michael Jones,Casey Barnes,2,0,1,0
4,79,Michael Jones,Morgan Henderson,2,2,1,1
4,90,Michael Jones,Dylan Bryant,2,-2,1,-1
4,100,Michael Jones,Wyatt Wallace,2,-2,1,-1
4,110,Michael Jones,Julian Barnes,2,-2,1,-1
5,90,Linda Garcia,Dylan Bryant,-2,-2,-1,-1
5,50,Linda Garcia,Nicholas Turner,-2,-2,-1,-1
5,105,Linda Garcia,Lily Ford,-2,-2,-1,-1
5,100,Linda Garcia,Wyatt Wallace,-2,-2,-1,-1
5,60,Linda Garcia,Aaron Cook,-2,-2,-1,-1
5,94,Linda Garcia,Luke Diaz,-2,2,-1,1
5,34,Linda Garcia,Kevin Torres,-2,2,-1,1
5,14,Linda Garcia,Joseph Thomas,-2,2,-1,1
5,9,Linda Garcia,Elizabeth Martinez,-2,2,-1,1
5,109,Linda Garcia,Sofia Griffin,-2,2,-1,1
5,29,Linda Garcia,Sandra Young,-2,2,-1,1
5,37,Linda Garcia,Sharon Flores,-2,0,-1,0
5,45,Linda Garcia,Melissa Mitchell,-2,-2,-1,-1
5,64,Linda Garcia,Zachary Bailey,-2,2,-1,1
5,79,Linda Garcia,Morgan Henderson,-2,2,-1,1
5,89,Linda Garcia,Alyssa Foster,-2,2,-1,1
5,95,Linda Garcia,Hailey Myers,-2,-2,-1,-1
6,41,William Miller,Amy Baker,-1,-1,-1,-1
6,51,William Miller,Rebecca Torres,-1,-1,-1,-1
6,16,William Miller,Charles Moore,-1,-1,-1,-1
6,21,William Miller,Nancy White,-1,-1,-1,-1
6,66,William Miller,Patrick Cooper,-1,-1,-1,-1
6,43,William Miller,Angela Rivera,-1,1,-1,1
6,73,William Miller,Alice Sanders,-1,1,-1,1
6,103,William Miller,Naomi Jordan,-1,1,-1,1
6,58,William Miller,Benjamin Rogers,-1,1,-1,1
6,28,William Miller,Steven Walker,-1,1,-1,1
6,23,William Miller,Karen Sanchez,-1,1,-1,1
6,36,William Miller,Brian Hill,-1,-1,-1,-1
6,38,William Miller,Edward Green,-1,1,-1,1
6,68,William Miller,Shane Cox,-1,1,-1,1
6,81,William Miller,AJenkins,-1,-1,-1,-1
6,93,William Miller,Sierra Griffin,-1,1,-1,1
6,106,William Miller,Gabriel Simmons,-1,-1,-1,-1
7,62,Barbara Davis,Adam Bell,0,0,0,0
7,37,Barbara Davis,Sharon Flores,0,0,0,0
7,112,Barbara Davis,Miles Jenkins,0,0,0,0
7,47,Barbara Davis,Emma Roberts,0,0,0,0
7,107,Barbara Davis,Madison Bryant,0,0,0,0
7,48,Barbara Davis,Gary Phillips,0,1,0,1
7,45,Barbara Davis,Melissa Mitchell,0,-2,0,-1
7,65,Barbara Davis,Katherine Rivera,0,-2,0,-1
7,108,Barbara Davis,Aaron Russell,0,1,0,1
7,12,Barbara Davis,Richard Wilson,0,0,0,0
7,17,Barbara Davis,Dorothy Jackson,0,0,0,0
7,82,Barbara Davis,Quinn Perry,0,0,0,0
7,102,Barbara Davis,Julian Cole,0,0,0,0
8,43,James Rodriguez,Angela Rivera,1,1,1,1
8,33,James Rodriguez,Carol Scott,1,1,1,1
8,78,James Rodriguez,Jamie Ross,1,1,1,1
8,68,James Rodriguez,Shane Cox,1,1,1,1
8,48,James Rodriguez,Gary Phillips,1,1,1,1
8,101,James Rodriguez,Eva West,1,-1,1,-1
8,111,James Rodriguez,Aubrey Price,1,-1,1,-1
8,86,James Rodriguez,Ethan Flores,1,-1,1,-1
8,36,James Rodriguez,Brian Hill,1,-1,1,-1
8,106,James Rodriguez,Gabriel Simmons,1,-1,1,-1
8,23,James Rodriguez,Karen Sanchez,1,1,1,1
